X;Vel;Exact
0.0628319;0.0230842;0.0230993
0.0942478;0.0230842;0.0346205
0.188496;0.0688823;0.0689337
0.219911;0.0688823;0.0802504
0.314159;0.113594;0.113681
0.345575;0.113594;0.124615
0.439823;0.156515;0.156635
0.471239;0.156515;0.167014
0.565487;0.196967;0.19712
0.596903;0.196967;0.206779
0.69115;0.234312;0.234495
0.722566;0.234312;0.243283
0.816814;0.267963;0.268173
0.84823;0.267963;0.27595
0.942478;0.297388;0.297621
0.973894;0.297388;0.304266
1.06814;0.322122;0.322375
1.09956;0.322122;0.327783
1.19381;0.341777;0.342046
1.22522;0.341777;0.346131
1.31947;0.356041;0.356322
1.35088;0.356041;0.35902
1.44513;0.364691;0.364979
1.47655;0.364691;0.366247
1.5708;0.367589;0.367879
1.60221;0.367589;0.367698
1.69646;0.36469;0.364979
1.72788;0.36469;0.36335
1.82212;0.35604;0.356322
1.85354;0.35604;0.353272
1.94779;0.341775;0.342046
1.9792;0.341775;0.337623
2.07345;0.322119;0.322375
2.10487;0.322119;0.316649
2.19911;0.297384;0.297621
2.23053;0.297384;0.290682
2.32478;0.267959;0.268173
2.35619;0.267959;0.26013
2.45044;0.234308;0.234495
2.48186;0.234308;0.225476
2.57611;0.196962;0.19712
2.60752;0.196962;0.187266
2.70177;0.156509;0.156635
2.73319;0.156509;0.146103
2.82743;0.113588;0.113681
2.85885;0.113588;0.102635
2.9531;0.0688764;0.0689337
2.98451;0.0688764;0.057549
3.07876;0.0230781;0.0230993
3.11018;0.0230781;0.0115554
3.20442;-0.0230842;-0.0230993
3.23584;-0.0230842;-0.0346205
3.33009;-0.0688823;-0.0689337
3.3615;-0.0688823;-0.0802504
3.45575;-0.113594;-0.113681
3.48717;-0.113594;-0.124615
3.58142;-0.156515;-0.156635
3.61283;-0.156515;-0.167014
3.70708;-0.196967;-0.19712
3.7385;-0.196967;-0.206779
3.83274;-0.234312;-0.234495
3.86416;-0.234312;-0.243283
3.95841;-0.267963;-0.268173
3.98982;-0.267963;-0.27595
4.08407;-0.297388;-0.297621
4.11549;-0.297388;-0.304266
4.20973;-0.322122;-0.322375
4.24115;-0.322122;-0.327783
4.3354;-0.341777;-0.342046
4.36681;-0.341777;-0.346131
4.46106;-0.356041;-0.356322
4.49248;-0.356041;-0.35902
4.58673;-0.364691;-0.364979
4.61814;-0.364691;-0.366247
4.71239;-0.367589;-0.367879
4.7438;-0.367589;-0.367698
4.83805;-0.36469;-0.364979
4.86947;-0.36469;-0.36335
4.96372;-0.35604;-0.356322
4.99513;-0.35604;-0.353272
5.08938;-0.341775;-0.342046
5.1208;-0.341775;-0.337623
5.21504;-0.322119;-0.322375
5.24646;-0.322119;-0.316649
5.34071;-0.297384;-0.297621
5.37212;-0.297384;-0.290682
5.46637;-0.267959;-0.268173
5.49779;-0.267959;-0.26013
5.59203;-0.234308;-0.234495
5.62345;-0.234308;-0.225476
5.7177;-0.196962;-0.19712
5.74911;-0.196962;-0.187266
5.84336;-0.156509;-0.156635
5.87478;-0.156509;-0.146103
5.96903;-0.113588;-0.113681
6.00044;-0.113588;-0.102635
6.09469;-0.0688764;-0.0689337
6.12611;-0.0688764;-0.057549
6.22035;-0.0230781;-0.0230993
6.25177;-0.0230781;-0.0115554
